town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,growth
Edgartown,0.046,-0.049,10.1,2082.6,109.1,13.5,572.4,17.2,,33.9,217,33.8,2312,6845,48.6,1.34,91,14.6,126.6,7.4,10.2,13.5,4,2.25,31.5,23.1,2.3,41123,-0.09,0.2,88.5,43.5,65.1,18.1,-0.124,41.8,17.3,586,44,8.6,1.7,0.014,74,,0.16,20887,92.7,137.2,0.054,34.9,2.4,5.7,0.968,,90.7,75025,0.31,847,,3293,0.51,32.9,3101,43,977,large
Egremont,0.023,-0.176,4.1,179.6,32.8,11.6,578.8,,0,96.3,41,42,1129,2419,52.8,2.32,56,10.4,27.9,24.5,23.4,22.1,3.3,2.16,30.2,15.4,8.7,21335,-0.13,0.8,57.1,56.4,58.7,,-0.111,26.1,16,216,56.8,8.9,0.68,-0.006,14,146,0.046,,94.1,7.3,,47.1,32.8,5.8,0.68,13.6,86.4,,,452,24.4,982,0.14,37.7,973,63,159,large
Erving,0.114,-0.009,8.9,305.6,99.7,11.4,356.7,18,0.027,98.3,48,34.1,1606,4710,51.1,1.44,68,11.3,145.6,0,7.3,35.9,3.7,2.42,29.1,10.8,10.9,16383,-0.1,0.6,27.8,39.6,75.6,10.7,0,22.8,25.5,179,33.1,3.8,0.36,0.003,13,203,0.158,16217,18.7,10,-0.178,35.5,116.3,11.6,0.982,4.3,95.7,56405,0.25,365,60.4,1107,0.39,22.2,929,21,533,negative
Essex,0.168,-0.056,8.8,2180.4,39.6,9.9,416.1,,0.044,58.8,28,60.9,2010,3256,50,2.03,66,6.6,83.8,14.3,9.9,40.7,4.4,2.5,28,26.2,9.1,46481,-0.03,0,48.5,47.3,70.5,,-0.221,23.1,27.8,273,34,8.4,0.95,0.008,39,76,0.201,,89.2,61.6,,34.6,14.2,1.5,0.93,5.8,94.2,,,462,0,2725,0.45,20.4,2512,34,854,small
Everett,0.668,,15.1,38.6,57.2,10.6,350.2,19.8,0.173,54.3,23,47.8,1418,2908,50.9,6.52,190,11.8,16.5,0,0.4,63.4,22.9,2.67,27.7,11.4,8.8,16566,-0.09,2,13.4,35.6,33.7,63.6,-0.282,8.4,50.2,208,23.9,7.1,-0.09,0.01,63,233,,12261,63.7,14.2,0.189,35.8,0.5,33.7,0.934,14.2,85.8,69151,0.54,214,40,19903,-0.1,50.6,14817,43,13951,large
Fairhaven,0.112,-0.12,8.1,694.9,71.7,10.4,466.6,17.1,0.028,151.5,56,54,1280,2299,51.9,5.13,118,8.7,86.1,3.8,0,38.1,4,2.33,31.4,11.7,9.9,24528,0.01,0.9,25.2,44.3,55,8.7,0.126,29.3,35.2,174,22.5,7.6,0.24,0.001,26,263,0.143,12117,85.6,47.9,-0.022,47.8,0,22.1,0.935,8.1,91.9,60033,0.42,351,31.2,10960,0.2,33.4,9557,9,3837,small
Fall River,0.509,-0.162,13,106.2,97,10.8,395.3,20.2,0.088,194.8,25,49.1,977,1824,52.5,6.49,118,11.4,27.6,11.8,7.3,58.6,10.1,2.27,34.9,6.4,7.3,14536,-0.02,3.7,17,38,37.8,37.8,0.061,16,31.6,168,28,9.2,-0.21,0.001,46,305,0.241,13844,77.6,38.3,0.015,35.4,0.4,48.4,0.913,14.6,85.4,74949,0.42,233,106.3,50556,0.2,54.3,31616,12,23157,medium
Falmouth,0.082,-0.096,8.1,1379.9,184.4,10.4,520.2,16.4,0.056,113.4,85,41,1391,3160,53.2,5.42,171,18.1,69.1,4.1,9.7,13.7,6.4,2.21,32.5,24.9,7,30119,-0.06,1.4,30.4,50.8,59.4,16.2,0.106,20.9,25.7,154,18.9,4.9,2.64,-0.001,497,336,0.195,14939,92.2,54.5,-0.062,52.1,1.6,7.6,0.922,9.3,90.7,72191,0.29,396,40.6,25376,0.57,29.4,21890,31,5473,small
Fitchburg,0.368,-0.244,13.5,85.8,114.7,10.4,379.6,20.8,0.088,127.2,22,52.6,1146,2026,51.4,6.45,131,12,44.5,2,8.2,47.5,12.9,2.49,29.8,13.9,7.4,16553,0.03,2.5,16.4,34.3,49.3,62.1,0.002,16.1,40.5,144,19.7,7.1,-0.06,0.003,40,268,0.133,12681,78.7,14.9,-0.047,35.9,15.1,43.9,0.918,19.8,80.2,69317,0.3,264,78.2,21905,0.23,32.7,16509,22,10565,small
Florida,0.003,-0.048,10.6,332.4,,10.4,311.2,12.5,0,85.1,27,51.1,1823,3405,48.7,1.87,64,17.3,48.1,13.3,18.2,24.5,8.4,2.44,21.8,5.8,12.1,13787,-0.11,0,,42.7,77.9,6.8,-0.118,39.9,9.7,2,,0.1,0.57,-0.005,,,0.192,13512,49.6,5.3,-0.116,37.3,949.2,20.6,0.982,4.9,95.1,37580,0.47,508,,538,0.13,20.5,418,1.4,188,negative
Foxborough,0.152,-0.09,9.7,136.4,,8.8,468.9,17.2,0.076,116.6,58,51.9,1620,3082,50.9,5.18,160,15.8,54.5,5.3,3,19.1,4.4,2.59,24.7,18.5,7.3,38411,-0.01,0.3,25.5,40.6,74.6,10.9,0.011,21.3,30.3,171,21.8,5.5,1.4,0.007,51,,0.213,13635,74.2,22.9,-0.058,38.5,6.5,15.7,0.928,21.6,78.4,72232,0.35,360,,12189,0.61,23.2,11346,21,4608,large
Framingham,0.247,-0.122,14.1,74.8,30.7,9.9,479.9,18.6,0.147,132.9,78,57.5,1469,2556,51.7,6.99,179,7.9,28.8,2.2,6.7,22.3,24.7,2.47,28.4,17.7,5.8,29591,-0.03,1.3,12.7,37.5,52.6,38,-0.056,12.9,29.8,152,18.3,5.9,1.43,0.01,441,178,0.222,15995,76.8,13.1,0.006,35.3,2.9,13.4,0.932,11.8,88.2,73653,0.41,262,22.1,36948,0.15,36.2,32048,50,20541,medium
Franklin,0.205,-0.096,9,106.2,7.8,8.5,419.6,21.3,0.15,61.8,29,57.5,1672,2863,51,4.63,133,8.4,51.5,0.9,4.4,14.7,5.8,2.8,20.8,20,7.6,39291,0.07,0.3,11.7,37,80.6,10.8,0.298,18.5,29.8,130,16.3,4.6,2.94,0.007,168,42,0.161,11108,78.9,20.3,-0.062,35.4,4.4,28.7,0.943,8.3,91.7,71127,0.39,334,3.4,21038,1.3,22.4,20346,25,8308,medium
Freetown,0.027,-0.152,9.7,497.2,69.8,10.4,469.9,,0.003,125.6,12,54.5,1140,2044,49.8,5.04,103,12.8,115.2,2.3,14.4,13.8,5.1,2.78,14.7,10.6,5.9,29951,0.01,0.3,12.4,42.3,96.1,,0.347,45.5,55.3,197,20.2,9.7,3.22,0.001,15,224,0.109,,81.7,37.2,,41.5,19.1,9.1,0.946,7,93.1,61405,,443,13.4,6357,0.83,26.4,5506,-8,2213,small
Gardner,0.286,-0.14,11.5,143.9,116.3,9.7,397.9,19.2,0.081,149.7,51,51.8,1020,1892,48.8,5.64,107,9.5,64.8,6.4,12,42.4,5.6,2.3,32.1,15.3,7.1,18444,-0.01,1.3,18.8,39.2,53.8,21.7,0.106,20.2,23.1,111,19.7,5.9,0.03,0.003,25,256,0.15,11310,82.1,18.5,-0.074,39.6,46.3,40.7,0.908,15.9,84.1,66028,0.28,273,43,11809,0.26,32.6,9444,13,5068,medium
Georgetown,0.079,-0.106,8.6,222.4,25.5,9.3,442.7,22.8,0.044,64.3,41,58.8,1597,2549,50.6,1.91,49,17.4,76.4,4.9,0,21.9,5.6,2.78,17.8,17.6,7.7,38310,0.06,0.2,9.8,40.6,90.8,3.8,0.134,26.9,30.3,165,18.2,6.5,2.39,0.008,44,,0.214,10511,90.7,30.6,-0.084,43.5,3.6,22.3,0.973,7.9,92.1,61801,0.41,382,,6202,0.86,22.5,5585,12,2225,small
Gill,0.089,-0.033,7.3,726.7,19.9,10.7,489.3,,0.019,55.3,16,55.9,1020,1700,50.3,2.36,40,6.7,140.9,0,45.5,32.7,3.3,2.35,28.3,19.3,7.3,21313,-0.04,1.3,40,49.5,73.2,,-0.231,26.7,28.2,107,13.3,6.3,0.4,0.003,2,125,0.139,,78.8,7.3,,38.5,272.4,7.5,0.864,29.9,70.1,,,427,0,1098,0.41,28.1,987,41,425,small
Gloucester,0.292,-0.1,9.3,969.5,28.3,9.9,436.2,17.7,0.096,32.3,25,36.9,1035,2619,51.9,7.12,186,20.8,64.3,11.1,12.5,53.8,4.6,2.27,32.8,15.7,8.8,30676,0.02,1.1,25.4,47.3,51.8,10.4,-0.028,20.5,28,162,21.4,6.2,0.14,0.008,357,142,0.182,13940,88.9,60.2,-0.112,39,1,11.8,0.941,7.4,92.6,67541,0.24,336,9.2,20910,0.3,28.7,18159,36,5769,small
Goshen,0.042,0.129,10.4,208.7,,11.8,383.3,,0.012,71.2,14,56,1204,2150,51.3,1.81,39,3.6,189.9,9.5,21.3,20.5,3.3,2.53,19.5,15.4,10.6,12403,-0.16,0.9,19,43.8,85.2,,0.316,47.4,26.4,63,18.9,2.9,2.28,-0.001,1,38,0.117,,94.3,19.9,,42,721.7,7,0.979,5.5,94.5,,,456,0,756,1.22,26.2,672,28,266,negative
Grafton,0.276,-0.124,12.5,160.4,24.1,9.1,462.3,19.4,0.18,53.6,40,57.6,1364,2364,51.6,1.05,25,12.1,70.6,4.5,51.7,22.2,5.9,2.56,24.2,21.6,7.2,38535,-0.01,0.3,10.7,35.9,82.7,17.2,-0.01,21.7,27,101,12.9,4.3,1.15,0.003,111,66,0.258,10064,90.3,22.9,0.04,32,37.6,20.4,,8.8,91.2,63673,0.42,323,12.2,12364,0.92,23.2,11453,27,5518,large
Granby,0.076,-0.049,6.7,477.6,19.3,10.8,448.1,15.6,0.037,113,20,59,1383,2300,50.6,1.11,26,15.3,131.4,0,14.3,15.9,3.3,2.63,21.9,15.5,12.2,26416,0.01,0.6,9.6,44.2,73.7,7.4,0.152,36.5,32,121,19.1,5.2,2.35,-0.002,6,146,0.155,10828,91.8,26.9,-0.09,37.2,89.9,30.6,0.94,5.6,94.4,,0.37,427,11.1,4538,0.58,24.4,3956,6,1448,negative
Granville,0.042,-0.064,7,338.4,0,11.8,450.2,17.4,0,57.5,23,63.6,1727,2524,49.2,0.69,17,9.1,201,19.2,22.9,27.5,4.6,2.58,20.9,15.1,12.3,28163,0.06,0,12.8,46.7,86.1,,0.409,59.4,32.9,66,6.3,2.6,1.12,0.001,11,82,0.029,15990,83.6,28.7,,32.3,357.4,30.4,0.922,22.4,77.6,66924,0.18,485,0,1169,0.52,13.6,990,-16,415,negative
Great Barrington,0.167,-0.053,6.9,177.4,60.9,10.4,449.3,,0.045,136.8,76,55.8,1593,2623,52.3,1.74,46,7.6,73.9,16.9,12.2,51.8,6.6,2.2,35.2,,10.7,30174,-0.06,0.8,69,45.8,51.4,,0.038,19.4,24.3,196,25.2,7.5,0.06,-0.005,179,,0.095,,79.3,8.7,,37.5,59.4,3.8,0.81,15.9,84.2,,,332,,4606,0.21,39.8,4112,66,1435,small
Greenfield,0.247,-0.079,9.9,136.9,,10.5,459.3,20.4,0.052,107.4,36,36.8,930,2356,52.5,3.5,83,21.5,74,5.7,0,48.8,9.2,2.15,38,17.5,6.6,19298,-0.01,1.6,22.9,42.3,46.3,20,0.079,22.8,20,154,19.4,6.5,0.01,0.003,145,327,0.09,12290,74.9,8.5,0.405,36,98.8,31.4,0.923,15.2,84.8,87172,0.31,291,65.1,11608,0.23,33.1,9409,49,4426,small
Groton,0.107,-0.083,6.9,254.6,5.6,9.1,471.5,,0.048,75.9,126,58.4,1525,2579,50.6,2.72,70,10.7,73.5,5.6,9.7,13,6.5,2.79,19.4,25.2,6.1,57386,0.05,0.4,9.4,42.2,94.8,,-0.078,23.2,22.1,158,20.5,6.1,2.69,0.01,117,96,0.079,,93.6,21,,40.4,14.9,2.2,0.865,15.6,84.4,,,345,6.5,7820,1.14,22,7285,38,2630,medium
Groveland,0.126,-0.097,7.4,246.2,3.1,9.5,440,,0.07,23.2,31,63.2,1169,1602,51.6,1.71,28,5.7,86.8,3.1,13.8,25,5.3,2.75,18.5,14.5,13.3,33334,0.13,0.3,13.9,43.4,85.2,,0.146,30.3,44.8,149,16.9,9.3,1.76,0.008,18,69,0.192,,90.8,37.5,,57.5,3.1,5.4,0.939,6.5,93.5,,,372,3,4716,0.7,21.6,4536,10,1539,small
Hadley,0.064,-0.002,5.1,489.5,59.1,10.6,507.6,16.8,0,295.6,40,41.8,1026,2457,52.2,1.65,41,14.5,112.6,9.5,15.5,28.9,4.9,2.41,27.6,22.1,10.3,25450,-0.14,0.2,32.4,46.1,62.3,17.6,0.456,18.9,19.9,190,28.4,7.8,0.99,-0.002,64,450,0.145,11268,65.9,13.5,-0.016,49.1,183.2,10.6,0.924,14.3,85.7,56677,0.43,350,26.5,3894,0.46,36.5,3493,44,1239,small
Halifax,0.14,-0.17,10.4,340.5,37,10,408.8,19.2,0.111,55.6,44,56.7,1371,2329,51.3,4.39,102,10.9,82.7,0,7.9,10.2,6.3,2.63,23.5,11.5,8.3,28177,0.05,0.4,14.6,43.7,76.8,3.7,0.205,39.1,41.6,148,15.9,6.3,6.96,0.006,20,100,0.121,12209,89.3,44,-0.149,44.4,11.9,18.6,0.959,5,95,68746,0.33,409,24.9,5362,0.75,22.3,4874,-0.9,1789,small
Hamilton,0.038,-0.105,11.5,291.1,21.7,9.7,423,,0.015,43,86,67.3,1992,2727,50.9,2.23,61,6,62.7,9,15.6,31.1,3.8,2.83,15.7,19.9,7.5,52877,-0.13,0,12.9,37.4,68.6,,-0.145,16,27.9,159,17.9,5.8,1.81,0.008,39,70,0.009,,94.6,33.4,,46.4,6.4,2.6,0.827,13.6,86.4,,,326,6.3,5837,0.5,17.6,4988,38,1489,negative
Hampden,0.034,-0.067,7.8,406.7,42.8,10.7,450.3,,0.023,50.4,24,71.4,1377,1833,51.4,0.74,14,3.9,110.9,1.9,9.4,14.1,4.6,2.66,17.9,11.2,13.3,35948,0.04,1.2,15.6,48.1,73.3,,0.252,36.8,40,197,29,10.8,2.89,0.001,31,69,0.145,,92.8,25.7,,54.6,46.7,5,0.951,4.7,95.3,,,416,9.6,3635,0.46,20.2,3339,-5,970,negative
Hanover,0.055,-0.056,8.7,196.7,22.2,9.2,395.7,21.3,0.03,109.4,39,52.9,1748,3249,51.2,4.97,161,13.5,59.8,1.4,1.3,13.7,2.5,2.93,17.4,17.7,7.4,41838,-0.03,0.6,15.9,40.2,80.9,3.9,-0.121,18.4,44.2,185,20.8,5.7,3.1,0.005,117,190,0.249,10857,82.5,27.9,-0.014,56.5,3.6,15.8,0.929,8.6,91.4,68747,0.46,406,2.1,9743,0.52,22.6,9652,4,3125,medium
Hanson,0.061,-0.116,10.3,274.3,28.2,10.5,391.9,,0.034,77.1,20,45.7,807,1766,50.3,8.18,144,13.9,88.3,2,9.3,18.4,6.1,2.94,17.3,14.1,7.3,28539,-0.03,0.4,13.7,40.5,81.3,,0.074,35.4,56.2,165,23.4,9.3,2.13,0.006,18,108,0.182,,92.3,40.5,,42.4,1.9,5.5,0.961,12,88,,,427,28,7013,0.64,21.9,6741,-1,2548,small
Hardwick,0.17,-0.186,8.4,301,40,11.2,379.9,,0.007,46.2,42,50.9,727,1430,49.8,2.74,39,7.5,177.7,6.7,10.1,51.8,2.5,2.54,24.3,15.6,7.8,14251,-0.08,0.7,36.8,45.9,81.9,,0.012,28.4,28.3,115,10,8.1,0.27,0.003,6,182,0.194,,91.6,25.1,,47,173.3,9.2,0.975,22.2,77.8,,,381,36.3,1736,0.39,22.5,1529,1,748,negative
Harvard,0.084,-0.117,3.2,256.1,30.6,9.7,405.7,19,0.051,110.1,88,55.2,1775,1562,42,1.02,16,15,62.4,9.2,3.4,18,5.9,2.76,16,37.8,7.1,58932,-0.23,0.2,6.1,44.7,94.7,15.8,0.073,20.4,21.7,79,19.8,5.1,0.64,0.003,113,76,0.097,13984,95,13.7,-0.055,42.7,56.6,13.9,0.948,15,85,79461,0.23,279,4.5,4287,0.56,24.5,4129,51,2189,medium
Harwich,0.105,-0.148,7.7,916.4,117.7,10.7,511.2,15,0.073,88,256,31.1,1321,4047,53.5,6.98,282,18.2,92.5,2.5,13.2,15.4,2.8,2.15,33,25.8,5.2,29505,-0.01,0.9,34.3,50.8,60.2,,0.27,23.9,19.9,246,26.8,6.1,3.62,-0.001,99,203,0.17,14511,92.7,64.5,,57.6,4.9,7.3,0.951,5.7,94.3,67436,0.21,467,22.7,10452,0.5,24.9,9448,26,2146,medium
Hatfield,0.11,-0.01,7,420.9,18.3,10.8,528.2,14.5,0.017,52.5,,,,,51.2,,,,154.9,24.4,4.9,35.6,2.6,2.21,31.2,29.4,9.6,28920,-0.24,0.3,30.5,48.2,68.6,6.2,0.259,31.1,16.9,,6.1,,0.5,-0.002,18,,0.144,11078,74.3,20.1,0.077,39.2,290.3,17.6,0.904,5.5,94.5,50028,0.48,415,,2567,0.24,35.3,2313,39,716,small
Haverhill,0.423,-0.167,13.6,81.8,75.3,9.8,431.7,18.5,0.24,137.6,18,50.2,1113,2192,52,7.15,157,11.2,45.7,3.1,6.5,40.4,10.4,2.47,29.6,13.1,5.3,24098,0.02,1.9,14.8,38.1,59,32.8,0.028,20.3,37.8,141,16,6.4,0.29,0.008,94,234,0.138,11604,82.6,20,0.031,33.1,0.7,28.1,0.891,8,92,66213,0.35,282,67.5,43400,0.84,29.7,32401,20,17274,large
Heath,0.008,-0.067,9.9,297.5,,11,420.7,,0,28.3,51,44.2,1201,2377,48.6,1.08,26,7.6,245.8,14.2,50.5,21.7,6,2.34,26.5,26,5.8,11863,-0.14,1.4,14.2,51.1,85.5,,-0.056,48.2,29.8,25,,1,1.31,0.003,3,,0.155,,93,15.6,,36.3,593.2,4,0.919,7.4,92.6,,,470,,509,0.47,29.2,468,29,100,small
Hingham,0.134,-0.032,8.9,566.9,,9,408,19.9,0.099,114.9,65,48.6,1688,3308,53,5.64,187,16.2,44.1,2.7,2.6,27.7,3.2,2.59,26.6,24.4,8,74095,-0.03,0.2,19.4,43,68.5,7.5,0.067,13.6,18.7,190,25.1,5.8,1.08,0.005,251,162,0.223,11415,87.2,30,0.06,63,5.4,10.1,0.898,6.2,93.8,73081,0.39,360,7.6,16974,0.22,24.4,16229,36,4946,medium
Hinsdale,0.083,0.048,7.9,1038.4,84.2,10.8,397.6,,0.026,16.7,,,,,49.9,,,,175.7,0,26.7,29.5,1.8,2.34,25.9,14.9,3.5,26203,-0.05,1,29.5,46.3,70.7,,0.013,37.9,34.6,,4.9,,0.3,-0.006,5,,0.149,,84.4,17.2,,40,425.7,6.8,0.913,13.3,86.7,,,445,,1417,0.42,24.8,1210,30,613,negative
Holbrook,0.074,-0.175,12.8,122.3,38.7,10,427.7,19.4,0.015,93.3,27,45.9,1220,2434,51.3,7.55,184,20.6,43.8,1.9,,29.4,12.2,2.62,25.3,12.4,12.9,25446,0.01,1.2,16.7,41.8,56.1,33.4,-0.204,20.2,59.7,163,19.3,6.7,1.7,0.007,30,206,0.063,14264,84.7,21.5,0.046,42,2.8,17.4,0.846,5.3,94.8,60030,0.47,335,38.3,7092,0.11,33,6213,21,2970,medium
Holden,0.133,-0.11,9.3,175.8,12.1,8.7,461.3,,0.093,64.6,43,58.2,1225,2066,51.5,2.85,59,7,71,5.8,1.8,13.3,3.9,2.69,19.4,17.1,7.9,36000,-0.04,0.4,9.8,41.4,80.9,,0.492,22.7,29.6,116,15.5,5.6,1.9,0.004,93,56,0.133,,93.7,24.2,,48.4,48.3,7.6,0.928,10.2,89.8,,,326,4.6,12912,0.5,21.7,12654,18,4928,large
Holland,0.016,-0.16,9.3,1370.4,,9.9,466.3,17.6,0.003,16.1,15,63.4,1438,2193,48.2,1.17,26,11,139.4,0,23,10.3,4.4,2.5,22.1,9.2,5.4,25880,0.05,0,24.2,42.4,95.4,7.8,0.126,43.1,23.1,63,8,2.9,5.58,0,1,,0.106,13702,95.3,28.6,-0.186,30,72.5,19.1,0.974,4.4,95.6,54590,0.47,417,,1864,1.05,19.5,1545,-6,690,small
Holliston,0.102,-0.044,10,143.2,12.4,9,468.7,16.6,0.06,87.8,38,58.9,2042,3312,50.8,1.25,42,12.3,62.7,3.7,7,15.9,5.3,2.74,18.7,21.9,10.6,46814,0,0.7,8.9,43.9,78,9.7,-0.019,19.3,25.5,162,17.6,4.9,2.61,0.01,118,77,0.152,12198,87.2,20.2,-0.028,43,2.2,19.2,0.944,6.5,93.5,71152,0.34,358,5.8,10507,0.31,27.3,9617,44,3368,large
Holyoke,0.307,-0.05,15.2,110.3,105.2,11.4,362.5,17.1,0.046,212.1,40,45.9,1501,2602,53.1,6.9,180,16.5,37.3,3.5,,43.4,19.7,2.51,32,11.7,6.6,14612,-0.02,5.5,21.8,36.6,38.2,82.8,-0.03,10.7,47.5,229,32.9,8.8,-0.27,0.001,117,627,0.224,15700,71.5,9.1,-0.04,38.3,4.3,53,1,18.5,81.5,64686,0.34,215,94.9,25781,0.04,44.9,16313,39,10094,negative
Hopedale,0.274,-0.143,10.3,126.9,28.7,9.2,464.4,18,0.179,44.3,50,51.8,1641,3002,51,3.19,96,13.8,61.9,3.4,6,39.2,4.4,2.66,22.6,16.1,8.7,34877,0.04,0.2,10.2,42,69.2,7.9,0.151,20.6,23.2,174,21.9,5.8,0.7,0.004,2,85,0.048,10448,88.1,22.3,-0.048,51.5,13.5,35.7,0.961,9.5,90.5,64378,0.39,349,28.4,3951,0.58,21.3,3775,24,1405,small
Hopkinton,0.127,-0.042,8,247.2,1.3,8.3,419.6,19.9,0.088,128.4,23,58.4,2243,3844,50.8,3.27,126,13,56.3,1.3,5.6,13.9,3.9,2.99,16,27.6,4.4,71923,-0.14,0.2,9.4,39.8,93.2,9.6,0.034,18.3,27.2,158,16,4.1,3.28,0.01,118,62,0.103,12472,82.8,20.6,-0.011,35.1,24.5,13.3,0.937,5.7,94.3,74294,0.41,364,1.3,10395,1.47,22,10296,39,3987,large
Hubbardston,0.113,-0.201,5,337.7,50,10.1,429.5,,0.054,19.6,,,,,50,,,,147.8,6.8,39.9,19.6,4.8,2.8,16.6,20.5,6,29225,0.02,0.5,13.7,42.4,110.4,,0.032,36.3,32.6,,15.9,,2.86,0.003,6,119,0.145,,93.3,36.5,,36.5,161.5,5.6,0.932,8.9,91.1,,,420,24.8,3179,2,17.3,2927,-1.8,1136,negative
Hudson,0.295,-0.163,11.8,184.1,12.5,9.7,470.2,17.7,0.185,98.5,51,55.6,1767,3026,50.7,4.59,139,7.7,49.1,1.6,3.7,22.1,10.4,2.53,25.9,19.1,7.5,30802,0.03,0.4,17.8,41,65.9,11.2,0.094,23.9,36.7,156,19.3,5.2,1.32,0.011,173,121,0.209,13294,81.7,29.6,-0.029,39.9,18.7,18.6,0.959,7.1,92.9,70503,0.43,348,4.1,12878,0.61,23.9,11583,31,5419,medium
Hull,0.219,-0.125,7.6,773.3,,9.4,454.1,19.3,0.154,48.4,25,39.5,1244,2858,52.6,8.32,238,23.4,22.6,4.9,5.6,43.4,3.6,2.22,34.1,22.3,6.9,31954,0.04,0.9,27.2,46.5,55.9,4,-0.061,18,31.5,244,29,8.5,2.05,0.005,83,104,0.124,15251,95.2,38.6,-0.12,28.7,4.8,15.4,0.897,9.8,90.2,71967,0.28,333,32.6,8211,0.25,34.3,7080,29,2171,negative
Huntington,0.061,-0.047,11.5,500,,10.7,384.4,,0,43.1,37,69.1,1243,1756,49.9,1.47,26,3.7,212.2,4.6,88.1,35,4.9,2.51,23.3,9.3,6.9,27329,0.03,2.8,18.3,42.3,78,,0.068,36.2,34.6,49,,2.8,0.73,-0.001,4,,0.184,,93.8,26.6,,29.7,381.3,12.6,0.866,38.8,61.2,,,489,,1433,0.6,19.6,1217,-0.66,556,negative
Ipswich,0.214,-0.127,7.8,1143.1,48.9,9.4,482.6,19.8,0.135,58.8,48,55.2,1612,2872,52.4,3.85,111,5.7,70,23.5,18,33.7,4.5,2.38,28.8,20.8,10.7,43107,-0.07,0.5,27.3,45.4,66.2,8.9,0.084,22.5,20.5,173,22.6,6,0.91,0.008,84,80,0.123,11548,88.4,47.8,-0.033,42.8,2.3,14.2,0.898,8.9,91.1,63121,0.31,365,3.7,10501,0.5,22.2,9614,33,2769,small
Kingston,0.08,-0.13,8.9,413.3,33.1,9.9,392.5,22.9,0.036,72.8,61,52.3,1423,2722,52.2,5.68,155,11.9,76.1,2.4,13.8,25.4,5.4,2.66,24.4,14,6.7,31648,0,0.7,21.4,42.3,76.8,4.1,0.158,23.8,38.4,208,22.8,7.6,2.65,0.005,28,205,0.142,10735,84.2,41.4,-0.033,46.5,7.1,13.7,0.888,12.7,87.3,64526,0.29,404,13.3,8934,1.11,22.8,8520,9,2997,medium
Lakeville,0.027,-0.165,8,699.9,72.2,9.9,450.8,,0.018,78.9,26,60.2,1175,1945,51,4.18,81,11.4,109.4,0.9,7,12.4,4.8,2.82,16.8,10.7,3.3,34937,0.08,0.3,14.1,41.8,99,,0.321,38.4,44.8,120,15.9,6.2,4.13,0.005,18,206,0.121,,84.9,41.8,,43.9,2.8,4,0.933,8.3,91.7,72613,,407,11.2,7765,1.48,18.7,7323,-6,2590,medium
Lancaster,0.114,-0.157,7.4,192.4,35.9,9.9,385.1,,0.049,124.5,36,61.2,1193,1951,43.7,1.43,28,5.8,72.9,12.4,18.7,26.9,8.4,2.66,21.8,22.4,7.3,28363,-0.11,0.1,1.2,38.7,90.8,,0.135,23,38.2,110,14.8,5.6,1.24,0.003,39,102,0.084,,86.3,19.1,,38.2,39.6,5.5,0.972,21,79,,,288,11,4807,0.74,20,4354,16,2204,small
