town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,growth
Ashby,0.015,-0.201,6.2,188.7,64.4,10.7,430.4,,0,60.8,27,55.6,953,1695,49.7,2.79,47,9.5,134.9,0,39.6,25.1,7.6,2.78,15.5,19.1,7.7,26675,-0.07,1.3,9.8,43.1,96.1,,0.017,39.4,36.2,209,,12.3,1.1,0.01,15,102,0.167,,93.7,25.7,,27.5,112.7,7.7,0.919,6.5,93.5,,,450,6.4,2375,0.81,15.1,2023,-3,916,small
Ashfield,0.061,-0.023,5.2,213,5.7,11.1,495.7,,0,43.8,45,61,1261,1965,50.9,1.54,30,3.7,167.6,5.8,85.7,43.5,6.8,2.28,27.1,23.2,9.8,23826,0.06,0,23,46.2,74.7,,0.222,44.3,23.7,56,5.7,2.8,0.78,0.003,24,57,0.136,,92.5,18.4,,36.9,476.5,6.3,0.824,7.4,92.6,,,401,5.7,1359,0.55,32,1218,67,368,negative
Ashland,0.348,-0.098,14.6,116.3,31.6,9,467.4,19.6,0.279,76.7,21,54.2,1441,2659,51.4,4.63,123,16.7,39.8,1.8,5.6,9.7,7.7,2.59,22.9,19.9,5.5,41094,-0.05,0.5,16.3,40.9,71.9,21.8,0.103,19.3,25.5,160,19.8,6,3.74,0.01,54,85,0.115,12183,90.7,17.5,-0.022,35.2,9.5,11.2,0.918,4.9,95.1,69830,0.4,325,8.3,10735,1.02,27.6,10444,42,5668,large
Athol,0.136,-0.24,11.4,226.2,76.6,10.8,418.1,,0.02,78.1,43,23.1,317,1341,50.8,11.07,148,22,105.9,2.6,21.4,48.2,6.3,2.46,28.4,17,7.7,17345,-0.04,2.8,19.9,38.2,64.8,,0.136,28.8,36.7,127,18,9.5,0,0.003,11,222,0.026,,86.9,21.7,,39.6,82.6,12,0.979,8,92,,,315,39.2,6661,0.15,21.4,5502,2,3469,small
Attleboro,0.229,-0.176,12,106.2,57.1,10.1,462,20.4,0.086,121.9,57,55.4,1163,2095,51.2,6.48,136,5.1,42.3,2.3,12.2,29.2,9,2.55,26.4,11.8,6,26131,-0.02,0.8,12.6,38.4,65.2,26.2,0.034,23.2,41,143,19.6,6.8,0.83,0.001,78,,0.133,11529,80.6,23.5,-0.006,37,2.7,31.2,0.903,9.7,90.3,,0.35,310,32.2,27280,0.8,25.2,23555,19,12353,medium
Auburn,0.12,-0.146,9.9,198.3,42.5,9,468.9,19.3,0.063,187.7,49,54.5,1352,2440,51.8,5.49,134,5.8,70.2,1.9,8.3,21.2,4.8,2.45,27.9,13.9,13.1,28712,0.01,1,16.7,44.1,63.6,11.5,0.012,20.4,35,209,27.6,8.6,0.83,0.003,15,361,0.211,12211,70.4,23.6,-0.01,48.1,41.2,16.1,0.937,6.1,93.9,61146,0.4,354,29.3,11784,0.31,28.7,10201,13,4108,small
Avon,0.111,-0.104,9.9,140,77.5,10.7,454.8,16.2,0.02,219.9,85,34.7,1454,3450,51.6,6.67,230,19.4,55.6,0,1.6,34.1,7.9,2.55,26.6,13.1,13.8,28123,0.03,2.1,29.8,43.6,59.4,39.9,-0.008,26.9,48,353,43.3,10.2,0.63,0.007,1,350,0.232,12656,53.1,23,-0.004,49.6,2.3,11.3,0.922,5.9,94.1,60160,0.45,426,20.3,3065,0.05,32.5,2697,21,1119,medium
Ayer,0.347,-0.075,14.7,103.7,118.7,9.8,477.6,,0.156,78.6,78,47.3,1243,2484,49.7,6.37,158,14.2,55.6,5.4,11,26.1,12.1,2.3,33.6,18.4,2.1,26154,0.01,1.1,20.2,40.4,63.7,,-0.371,24,29.5,209,29.4,8.4,0.29,0.01,7,226,0.187,,64.1,21.9,,33.7,8,3.8,0.957,10.3,89.8,75201,,350,37,4961,0.77,24.9,4625,30,2109,large
Barnstable,0.09,,8.9,1003.7,79.7,10.7,492.7,17.2,0.061,46.3,65,50.9,1347,2445,51.8,,,12.1,65.2,18.8,10,13,10.2,2.33,29,22,4.7,29719,-0.06,1.6,29.9,47,56.3,20.6,0.123,20.8,28.5,218,27.9,8.9,3.31,-0.001,353,281,,13564,88.2,50.3,0.135,45.6,0.7,8.2,0.907,9.3,90.7,68127,0.21,418,62.1,32923,0.56,24.6,28427,18,8943,medium
Barre,0.098,-0.197,8.3,264.9,64.6,10.8,413.3,,0.001,68.5,32,52,826,1527,49.5,2.1,32,7.9,156.2,3.7,19.2,34.8,4.6,2.61,24.1,16.8,10,22782,-0.04,0.7,40.8,42.9,87.7,,0.215,35.6,35.1,84,20.3,5.5,0.58,0.003,57,146,0.153,,87.2,31.3,,45.1,223.4,8.6,0.97,15.5,84.5,,,388,23.8,3518,0.46,24.4,3157,0.38,1275,small
